Scenario,Batch Size,Compression Type,Producer Mode,Consumer Mode,Partitions,Throughput,LatencyAVG,LatencyMAX, Throughput_of_consumer
1,20000,lz4,sync,sync,1,1562597.662354 records/sec (149.02 MB/sec), 1.62 ms avg latency, 313.00 ms max latency,365.5045
2,20000,lz4,sync,async,1,2294472.615469 records/sec (218.82 MB/sec), 2.14 ms avg latency, 415.00 ms max latency,455.6277
